ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24018451,"05/08/2024, 5:08:43 PM","05/09/2024, 1:04:49 PM",THUNDER BAY,ON,P7E 6T7,600 Block DOCK ST, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24018482,"05/08/2024, 8:04:07 PM","05/09/2024, 1:04:49 PM",THUNDER BAY,ON,P7C 3B9,800 Block MCLAUGHLIN ST, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24018485,"05/08/2024, 8:25:40 PM","05/09/2024, 1:04:49 PM",THUNDER BAY,ON,P7A 3N9,200 Block ST. JAMES ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018517,"05/08/2024, 11:15:25 PM","05/09/2024, 1:04:49 PM",THUNDER BAY,ON,P7E 1J3,VICKERS ST S AND LINCOLN ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24018430,"05/08/2024, 2:05:49 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7C 4Y7,300 Block LILLIE ST N, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24018435,"05/08/2024, 2:53:08 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7E 5R2,ARTHUR ST W AND JAMES ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018442,"05/08/2024, 4:22:27 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7C 5G8,BALMORAL ST AND DEASE ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24018469,"05/08/2024, 6:54:17 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7B 2A4,1200 Block JOHN ST. RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018478,"05/08/2024, 7:00:00 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7E 1R2,200 Block FRANKLIN ST S, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24018472,"05/08/2024, 7:21:53 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7A 6X9,1 Block MONA ST," TBPS] THEFT NOT IN PROGRESS, OVER 5000",Other Theft,THEFT
TB24018470,"05/08/2024, 7:13:01 PM","05/09/2024, 1:04:50 PM",THUNDER BAY,ON,P7B 1N5,DUFFERIN ST AND BANNING ST, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24018412,"05/08/2024, 8:50:46 AM","05/09/2024, 1:04:51 PM",THUNDER BAY,ON,P7C 5N3,700 Block JAMES ST N," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24018419,"05/08/2024, 10:59:10 AM","05/09/2024, 1:04:51 PM",THUNDER BAY,ON,P7B 1N5,300 Block DUFFERIN ST, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24018440,"05/08/2024, 3:57:28 PM","05/09/2024, 1:04:51 PM",THUNDER BAY,ON,P7A 6V6,1 Block GERTRUDE AV," TBPS] THEFT NOT IN PROGRESS, OVER 5000",Other Theft,THEFT
TB24018468,"05/08/2024, 6:51:29 PM","05/09/2024, 1:04:51 PM",THUNDER BAY,ON,P7J 1B2,1000 Block BROOKVIEW PL, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
